200901;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;469033402
200901;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;230000
200902;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;8397974
200902;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;6285660
200902;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;698502
200902;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;402745185
200902;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;279001
200903;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;6085994
200903;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;3744131
200903;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;496247
200903;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;452906664
200903;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;325000
200904;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;5946070
200904;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;6558025
200904;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;538071
200904;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;456851527
200904;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;241000
200905;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;4443958
200905;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;6997985
200905;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;451408
200905;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;487682382
200905;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;233000
200906;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;6975512
200906;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;5242112
200906;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;460298
200906;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;485610961
200906;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;200000
200907;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;6705412
200907;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;8025279
200907;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;485191
200907;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;551345284
200907;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;256000
200908;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;8284466
200908;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;4417490
200908;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;376648
200908;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;536398543
200908;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;255000
200909;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;13440019
200909;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;3297226
200909;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;863225
200909;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;525239672
200909;1007135653;GRAN PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;Gasolina de Aviação;189000
200910;1004454790;AIR BP BRASIL S.A.;Querosene de Aviação;14145689
200910;5034274233;PETROBRAS DISTRIBUIDORA S.A;Gasolina de Aviação;3681324
200910;1004454790;AIR BP BRASIL S.A.;Gasolina de Aviação;992123
200910;5034274233;PETROBRAS DISTRIBUIDORA S.A;Querosene de Aviação;515858309
